OBJECTID,COMMENTS,LENGTH_NM,AKCreationDate,AKDate,CreationDate,Creator,EditDate,Editor,Herring_Stock,ManagementArea,GlobalID,Photos,Year,Vessel_Mapped,Shape__Length,longitude,latitude
461,,0.18917130731112156,1585645188000,03/31/2020,1585673988000,aaron.dupuis_adfg,1585673988000,aaron.dupuis_adfg,Sitka_Sound,Sitka,e5c0be10-e948-4963-a4e4-97a64f081654,0,2020,0,0.004929704748633104,-135.493922268,57.159237492
462,,0.17629390827742253,1585645278000,03/31/2020,1585674078000,aaron.dupuis_adfg,1585674078000,aaron.dupuis_adfg,Sitka_Sound,Sitka,c877ca35-fb6c-412d-996b-2399688a6a65,1,2020,0,0.005244691612279443,-135.50041477,57.156554048
463,,0.44236297506931216,1585645326000,03/31/2020,1585674126000,aaron.dupuis_adfg,1585674126000,aaron.dupuis_adfg,Sitka_Sound,Sitka,46ca6c48-f0c4-4c0f-827a-234c2e09bacc,1,2020,0,0.01188980033523901,-135.507624536,57.157372111
464,,0.27733681104348584,1585645399000,03/31/2020,1585674199000,aaron.dupuis_adfg,1585674199000,aaron.dupuis_adfg,Sitka_Sound,Sitka,884ecc02-a1ad-438d-8935-08c2c895dba6,1,2020,0,0.006221210287769853,-135.5119784,57.149068018
465,,0.7016422451353224,1585645432000,03/31/2020,1585674232000,aaron.dupuis_adfg,1585674232000,aaron.dupuis_adfg,Sitka_Sound,Sitka,5db97996-1576-4a22-92d2-c786f31ff6d0,1,2020,0,0.01660191206974252,-135.501658363,57.151130439
466,,0.04789832303220388,1585731612000,04/01/2020,1585760412000,aaron.dupuis_adfg,1585774288000,aaron.dupuis_adfg,Sitka_Sound,Sitka,90b4612b-377a-47bd-a6f1-d2bd096facaa,1,2020,0,0.000995225137257107,-135.372258215,57.056458423
467,,0.07362391979719021,1585731658000,04/01/2020,1585760458000,aaron.dupuis_adfg,1585760458000,aaron.dupuis_adfg,Sitka_Sound,Sitka,3dca868c-11d6-4765-9710-8f408fb2ada9,1,2020,0,0.001897107344031806,-135.364129093,57.0643945790001
468,,0.1589701833006083,1585732451000,04/01/2020,1585761251000,aaron.dupuis_adfg,1585761251000,aaron.dupuis_adfg,Sitka_Sound,Sitka,884627de-fc14-40ef-b766-743e4feeeb16,1,2020,0,0.00439432066948776,-135.494302452,57.1592532330001
469,,0.17758659654120912,1585732538000,04/01/2020,1585761338000,aaron.dupuis_adfg,1585761338000,aaron.dupuis_adfg,Sitka_Sound,Sitka,46fa516d-471b-48a8-b69d-41fddb6a86b0,0,2020,0,0.003572098193886877,-135.476446779,57.1724978550001
470,,0.11549360623819392,1585732611000,04/01/2020,1585761411000,aaron.dupuis_adfg,1585761411000,aaron.dupuis_adfg,Sitka_Sound,Sitka,0b47d099-57f1-4412-94e8-f38ebe68c0e2,0,2020,0,0.002775098133866045,-135.468634177,57.170591835
471,,0.2255778639701049,1585732635000,04/01/2020,1585761435000,aaron.dupuis_adfg,1585761435000,aaron.dupuis_adfg,Sitka_Sound,Sitka,f926d560-d3ef-40f4-9f58-e4d6638bc462,0,2020,0,0.004995298739434349,-135.486731874,57.1649748460001
472,,0.3837934087515668,1585732656000,04/01/2020,1585761456000,aaron.dupuis_adfg,1585761508000,aaron.dupuis_adfg,Sitka_Sound,Sitka,da83e9df-e267-405f-9158-d655fe3f32a1,0,2020,0,0.010803959035696703,-135.503730294,57.156449734
473,,0.13489061259253843,1585732688000,04/01/2020,1585761488000,aaron.dupuis_adfg,1585761488000,aaron.dupuis_adfg,Sitka_Sound,Sitka,861da8c0-4c04-451d-87cf-5e136b2ad953,1,2020,0,0.003293296315707323,-135.516882886,57.150612763
474,,0.06223615502529869,1585732749000,04/01/2020,1585761549000,aaron.dupuis_adfg,1585761549000,aaron.dupuis_adfg,Sitka_Sound,Sitka,f3dcdda5-2fbc-4bb2-8d03-b94f7a40b9d6,0,2020,0,0.0016880920546794435,-135.515866269,57.155953416
475,,0.32909328838603946,1585732789000,04/01/2020,1585761589000,aaron.dupuis_adfg,1585761589000,aaron.dupuis_adfg,Sitka_Sound,Sitka,c854be9e-2dce-4ab0-ab26-f5168044ed08,0,2020,0,0.007343973547599589,-135.498332491,57.1503017360001
476,,1.3741203903841346,1585732840000,04/01/2020,1585761640000,aaron.dupuis_adfg,1585761675000,aaron.dupuis_adfg,Sitka_Sound,Sitka,1d0eeb57-7a68-41c9-ae2b-cace14339b03,2,2020,0,0.03080480740612533,-135.507490316,57.145523209
477,,0.17822589122123705,1585732902000,04/01/2020,1585761702000,aaron.dupuis_adfg,1585761702000,aaron.dupuis_adfg,Sitka_Sound,Sitka,241cb144-c466-468c-bec6-12b90211a04f,1,2020,0,0.00397387177927813,-135.527528875,57.146279319
478,,0.42537703776510966,1585732929000,04/01/2020,1585761729000,aaron.dupuis_adfg,1585761745000,aaron.dupuis_adfg,Sitka_Sound,Sitka,cb01210a-630b-4582-bebc-a54e674c25a7,1,2020,0,0.008253633317946485,-135.542788609,57.1500580810001
479,,0.08683520893737808,1585732966000,04/01/2020,1585761766000,aaron.dupuis_adfg,1585761766000,aaron.dupuis_adfg,Sitka_Sound,Sitka,0bb1e106-f1cb-49cf-b50c-ac38e813745a,0,2020,0,0.0025202175183384906,-135.550122129,57.157579308
480,,0.05253085645827499,1585733153000,04/01/2020,1585761953000,aaron.dupuis_adfg,1585761953000,aaron.dupuis_adfg,Sitka_Sound,Sitka,e3acda91-1f4a-4599-907a-438ec128a6ec,1,2020,0,0.00117779615313327,-135.56529111,57.1390394380001
481,,1.2684500893135742,1585734809000,04/01/2020,1585763609000,aaron.dupuis_adfg,1585763716000,aaron.dupuis_adfg,Sitka_Sound,Sitka,0b1c89c4-a8d3-4d63-89e4-c9b20d9a14c6,2,2020,0,0.025068538146445486,-135.84480517,57.056401871
482,,0.7123057585146806,1585734861000,04/01/2020,1585763661000,aaron.dupuis_adfg,1585763661000,aaron.dupuis_adfg,Sitka_Sound,Sitka,7a61022e-f62a-4ca8-9a29-747a11883ac0,1,2020,0,0.016958186717990913,-135.853245366,57.0209905820001
483,,0.19179422310501779,1585735069000,04/01/2020,1585763869000,aaron.dupuis_adfg,1585763869000,aaron.dupuis_adfg,Sitka_Sound,Sitka,6564bf6f-af43-4c21-89cc-44fe3aa4bc9d,1,2020,0,0.0035919157284287433,-135.843418183,57.0675301210001
484,,0.344605297072655,1585735263000,04/01/2020,1585764063000,aaron.dupuis_adfg,1585764083000,aaron.dupuis_adfg,Sitka_Sound,Sitka,48a7fa4d-b41b-4ff4-9745-069aeeaacd56,1,2020,0,0.007911597677644412,-135.81586258,56.9916150060001
485,,0.05049116303316394,1585735375000,04/01/2020,1585764175000,aaron.dupuis_adfg,1585764175000,aaron.dupuis_adfg,Sitka_Sound,Sitka,cc764df7-8c37-4e2a-b9ea-c190020d8e7b,1,2020,0,0.0010482030827240842,-135.777254331,56.9969078180001
486,,0.3239217863624725,1585735418000,04/01/2020,1585764218000,aaron.dupuis_adfg,1585764218000,aaron.dupuis_adfg,Sitka_Sound,Sitka,c6fe3625-2f7d-4d6a-b61d-899240aa8d92,1,2020,0,0.007866743515943188,-135.765386937,57.0010423890001
487,,2.1658675229154034,1585735488000,04/01/2020,1585764288000,aaron.dupuis_adfg,1585764288000,aaron.dupuis_adfg,Sitka_Sound,Sitka,34c9124a-d85f-4468-9674-b31ef4633b16,3,2020,0,0.061144672047412994,-135.729394565,57.000884177
488,,0.9206656923507642,1585735561000,04/01/2020,1585764361000,aaron.dupuis_adfg,1585764361000,aaron.dupuis_adfg,Sitka_Sound,Sitka,01128b1a-8ae3-46d6-a9cb-70177bdad541,1,2020,0,0.02579087967299109,-135.653538271,57.009915563
489,,0.28420826979040076,1585735629000,04/01/2020,1585764429000,aaron.dupuis_adfg,1585764429000,aaron.dupuis_adfg,Sitka_Sound,Sitka,1614d9f3-07b1-4f50-a5e2-62c496cfee6e,2,2020,0,0.00642134846107042,-135.61392881,57.012367081
490,,0.22666891605091577,1585735772000,04/01/2020,1585764572000,aaron.dupuis_adfg,1585764572000,aaron.dupuis_adfg,Sitka_Sound,Sitka,1c241632-ef08-4ca3-9b13-2171d4796618,1,2020,0,0.005095971923073979,-135.606530437,57.042657181
491,,0.015312451679359055,1585736200000,04/01/2020,1585765000000,aaron.dupuis_adfg,1585765000000,aaron.dupuis_adfg,Sitka_Sound,Sitka,976771d7-7f58-497f-9520-99713987bb35,1,2020,0,0.000275467245435127,-135.408570283,57.0650017520001
492,,0.023686808502560452,1585736224000,04/01/2020,1585765024000,aaron.dupuis_adfg,1585765024000,aaron.dupuis_adfg,Sitka_Sound,Sitka,a5a0fd83-a68c-4853-85db-d949ba7de652,0,2020,0,0.00039665410683612857,-135.407420339,57.067627799
493,,0.10330614701478805,1585736258000,04/01/2020,1585765058000,aaron.dupuis_adfg,1585765058000,aaron.dupuis_adfg,Sitka_Sound,Sitka,af599c0b-710b-43c0-ad2a-ee468dc68b01,1,2020,0,0.002788087395548892,-135.416145463,57.070354524
494,,0.024420025057939096,1585736279000,04/01/2020,1585765079000,aaron.dupuis_adfg,1585765079000,aaron.dupuis_adfg,Sitka_Sound,Sitka,22d89dc0-3208-4ebb-86f7-6507b29ff5ed,1,2020,0,0.0006609038816029987,-135.408940929,57.0669793390001
