OBJECTID,SPAWN,SITE1,Site1_Name,SITE2,Site2_Name,YEAR_,Shape.STArea(),Shape.STLength(),longitude,latitude
61,1,ps,Port Susan, , ,0,770448.7616048155,5580.875638441109,-122.32191308424244,48.08629520360038
62,1,dib,Discovery Bay, , ,0,13059926.822010778,65823.45329811,-122.88491864701871,48.07735150909002
63,1,kh,Kilisut Harbor, , ,0,36300907.782732844,113959.8160537909,-122.72305975647085,48.085647791304986
64,1,kh,Kilisut Harbor, , ,0,7343858.0284068575,37657.68684351857,-122.79835510237366,48.0867347707852
65,1,seq,Sequim Bay, , ,0,92806978.32684319,105761.69723768643,-123.08096342644892,48.14354303932266
66,1,kh,Kilisut Harbor, , ,0,14620052.914970582,43130.71942844438,-122.73321903296129,48.09131495625332
67,1,ps,Port Susan, , ,0,13291844.427067827,62880.130916070324,-122.43476104838905,48.12966155912145
68,1,ps,Port Susan, , ,0,6647386.291853057,44637.823922407915,-122.36470135946018,48.14008986036028
69,1,ps,Port Susan, , ,0,5463364.357179861,10367.800938205806,-122.44373321451813,48.141166685761775
70,1,dub,Dungeness Bay, , ,0,33260369.743692067,30427.506503141274,-123.15178709209269,48.166294976545366
71,1,ps,Port Susan, , ,0,14617272.460828217,37690.85081883765,-122.47634283288677,48.18526377431288
72,1,ps,Port Susan, , ,0,294967.8887489247,3022.719201665348,-122.46497132049984,48.19487926719424
73,1,ps,Port Susan, , ,0,110624.71125830518,1617.3738428988684,-122.46419316190273,48.19753048975074
74,1,skb,Skagit Bay, , ,0,3521076.9400859484,9315.702783106073,-122.62234497053635,48.22841262763532
75,1,skb,Skagit Bay, , ,0,46545418.459847435,29793.58287861933,-122.52055828247369,48.35327975101802
76,1,skb,Skagit Bay, , ,0,39844427.880621105,33029.233478950824,-122.54791808289433,48.400166336025684
77,1,skb,Skagit Bay, , ,0,66927684.10411899,117018.37329398461,-122.58812713584383,48.40034866222034
78,1,skb,Skagit Bay, , ,0,867901.7417378543,4128.852403692745,-122.57006567223365,48.41734007681274
79,1,skb,Skagit Bay, , ,0,5015349.210311586,12160.729092623022,-122.55694444065014,48.42050621128779
80,1,skb,Skagit Bay, , ,0,38058547.10101083,70922.53083110251,-122.5702740805138,48.44763620499672
81,1,fb,Fidalgo Bay, , ,0,4060872.137862403,8221.859399665125,-122.52577069797125,48.48946789775121
82,1,fb,Fidalgo Bay, , ,0,95945764.38500817,108455.09460451093,-122.55400085420182,48.513069151841265
83,1,sji,San Juan Islands, , ,0,4184226.1805187063,9622.412094121864,-122.87931060692777,48.55922698857831
84,1,sjw,San Juan Island West, , ,0,930701.9024227645,5892.757994960798,-123.15943017673976,48.60864909597179
85,1,sji,San Juan Islands, , ,0,153903.30570478173,1517.9952634393935,-122.98731231683672,48.62190246463781
86,1,sab,Samish Bay, , ,0,248730515.98475316,84063.24725525903,-122.4924721014945,48.6502395828229
87,1,cp,Cherry Point,pob,Portage bay,0,15895933.969466249,35671.979568869814,-122.64007636881371,48.7044334163282
88,1,cp,Cherry Point, , ,0,7840734.0882436,19248.107635786942,-122.66567448822461,48.73212023501079
89,1, , ,pob,Portage bay,0,71125464.11698179,66802.49347824382,-122.62557194414775,48.73927477340488
90,1,cp,Cherry Point, , ,0,31424952.223009486,32897.88375805442,-122.64972192545812,48.770270799607864
91,1,cp,Cherry Point, , ,0,135819256.9974449,162042.55639657535,-122.77132333626817,48.9037526537973
92,1,cp,Cherry Point,sem,Semiahmoo Bay,0,27440128.11989278,26316.48376096798,-122.74523348707245,48.92158726608567
93,1, , ,sem,Semiahmoo Bay,0,34468031.83081303,22676.739899356777,-122.76607817085424,48.94201547198623
94,1, , ,sem,Semiahmoo Bay,0,79831901.02705193,46594.76377664968,-122.75277712320515,48.99289722380441
95,1,cp,Cherry Point,sem,Semiahmoo Bay,0,61368685.61054133,79376.15046411168,-122.78449249234882,48.993198394106145
96,1, , ,sem,Semiahmoo Bay,0,1891851.2225297124,8445.989864151828,-122.75587423545666,48.994876251882005
97,1,cp,Cherry Point,sem,Semiahmoo Bay,0,10821319.369493416,15393.965932331403,-122.77125637760703,49.001510513467366
98,1,cp,Cherry Point,sem,Semiahmoo Bay,0,31968556.573000804,25799.26390476077,-123.01480655306312,49.002200246727995
99,1,cp,Cherry Point, , ,0,58986681.30926705,72438.20587455897,-123.09078412947672,49.00220272568349
100,1,sqx,Squaxin Island, , ,0,18567119.044374257,48904.41476323479,-122.932724000134,47.208866118026876
101,1,pom,Port Orchard-Port Madison, , ,0,41720858.66901457,146145.05992162373,-122.54889679024883,47.72282028112675
102,1,ps,Port Susan, , ,0,20223115.50553567,31643.448744370977,-122.29984015308422,48.069518672909346
103,1,sji,San Juan Islands, , ,0,17302848.368008837,51272.61201341874,-122.85382080071943,48.47074127098176
104,1,sjw,San Juan Island West, , ,0,35304311.50121582,66265.09120578492,-123.1430368725152,48.60906797379445
105,1,cp,Cherry Point, , ,0,29668143.699291088,105693.62764981388,-122.71520996091641,48.749725340805675
106,1,qb,Quilcene Bay, , ,0,646812.478490496,3363.5727098978564,-122.79815009062075,47.77249451014377
107,1,qb,Quilcene Bay, , ,0,1192164.431259102,6887.65252548027,-122.7976399807444,47.76723631751086
108,1,qb,Quilcene Bay, , ,0,2047893.8382672875,11554.416515703508,-122.80865325242132,47.74122481852812
109,1,eb,Elliott Bay, , ,0,472798.0794838615,2827.564080403418,-122.4215087884681,47.5740241993192
110,1,eb,Elliott Bay, , ,0,54341.58715021426,993.4520399925365,-122.42165336596008,47.57599279037366
111,1,eb,Elliott Bay, , ,0,1070907.8973000161,4464.133822867662,-122.42048645047606,47.64072418079017
112,1,eb,Elliott Bay, , ,0,730095.2017221522,3710.743379355495,-122.39979553263174,47.63088226242706
